estoy_trabajando_en,donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,pagos_en_criptomonedas,que_porcentaje_o_monto_recibis_en_criptomonedas,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_2022,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,con_que_beneficios_contas,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,trabajo_de,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,la_recomendas_como_un_buen_lugar_para_trabajar,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,universidad,participaste_de_algun_boot_camp,si_participaste_de_un_boot_campque_carrera_estudiaste,salir_o_seguir_contestando_sobre_las_guardias,tenes_guardias,cuanto_cobras_por_guardia,porcentajebruto_o_neto,salir_o_seguir_contestando_sobre_estudios,tengo_edad,me_identifico_genero,sueldo_dolarizado,seniority,me_id_extra
Argentina,Buenos Aires,Full-Time,Staff (planta permanente),475480,396346,,,,,Menos de un sueldo,Dolar MEP,Uno,,Noviembre,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Guardería o pago para cubrir costo de guardería",4,"No, estoy muy conforme.",Developer,3,0,0,0,Docker,"Go, SQL",-,MySQL,Postman,Más de 10000 personas,100% remoto,0,10,Terminar encuesta,,,,,,,,,,,,25,Varón Cis,FALSE,Semi-Senior,Hombre Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),260000,220000,,,,,No,No recibo bono,Tres,50,Octubre,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles",2,"No, pero escucho ofertas.",Developer,2,1,1,3,Azure,Javascript,React.js,MySQL,"Cypress, Jest",Más de 10000 personas,100% remoto,0,8,Terminar encuesta,,,,,,,,,,,,27,Mujer Cis,FALSE,Junior,Mujer Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),106350,88560,,,,,No,No recibo bono,Uno,25,Diciembre,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,0,0,0,0,"Docker, Linux",".NET, Bash/Shell, TypeScript",".NET Core, Angular, Bootstrap, Node.js","Microsoft SQL Server, MySQL",Visual Studio Coded UI,De 201 a 500 personas,Híbrido (presencial y remoto),1,8,Terminar encuesta,,,,,,,,,,,,21,Varón Cis,FALSE,Junior,Hombre Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),339000,283700,,,,,Un sueldo,Performance individual,Tres,80,Noviembre,2,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",2,"No, estoy muy conforme.",Developer,3,1,1,0,"Amazon Web Services, Docker, Linux, Serverless","Java, Javascript, Python, SQL","Node.js, Spark","Amazon DynamoDB, Amazon RDS/Aurora, PostgreSQL",Jest,De 101 a 200 personas,100% remoto,0,8,Responder sobre guardias,Universitario,En curso,Licenciatura en Informática,UP - Universidad de Palermo,,,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,25,Varón Cis,FALSE,Semi-Senior,Hombre Cis
Argentina,Río Negro,Full-Time,Staff (planta permanente),380000,320000,Mi sueldo está dolarizado (pero cobro en moneda local),179,,,Un sueldo,Performance individual,Uno,,Septiembre,4,"Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,0,0,0,0,Docker,"CSS, HTML, Javascript","Next.js, Node.js, React.js",Ninguna de las anteriores,Jest,Más de 10000 personas,100% remoto,0,10,Terminar encuesta,,,,,,,,,,,,24,Varón Cis,TRUE,Junior,Hombre Cis
Argentina,Córdoba,Full-Time,Staff (planta permanente),140000,205000,,,,,No,No recibo bono,Tres,,Diciembre,4,Clases de idiomas,4,"No, pero escucho ofertas.",Product Manager,12,1,1,4,"Firebase, Linux, Windows Server",Ninguno de los anteriores,React.js,Microsoft SQL Server,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,7,Responder sobre mis estudios,Terciario,Completo,Analista Programador,UTN - Universidad Tecnológica Nacional,,,Terminar encuesta,,,,,38,Mujer Cis,FALSE,Senior,Mujer Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,1200000,Mi sueldo está dolarizado (pero cobro en moneda local),314,,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Technical Leader,19,4,1,5,"Amazon Web Services, Linux, Serverless","Javascript, TypeScript",Node.js,"Amazon DynamoDB, MySQL",Jest,De 201 a 500 personas,100% remoto,0,6,Responder sobre guardias,Universitario,Incompleto,Ingeniería en Informática,UAI - Universidad Abierta Interamericana,,,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,37,Varón Cis,TRUE,Senior,Hombre Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1170000,610000,Cobro parte del salario en dólares,170,,,No,No recibo bono,Más de tres,80,Noviembre,4,"Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",4,"Sí, estoy buscando activamente.",Technical Leader,7,2,2,2,"Firebase, Google Cloud Platform, Kubernetes, Serverless","HTML, Javascript, Python, TypeScript","Flask, Next.js, Node.js, React.js","Google Cloud Storage, PostgreSQL",Jest,De 501 a 1000 personas,100% remoto,0,8,Responder sobre mis estudios,Universitario,Incompleto,Licenciatura en Matemática,UBA - Universidad de Buenos Aires,no,,Responder sobre guardias,No,0,Bruto,Terminar encuesta,28,Varón Cis,FALSE,Senior,Hombre Cis
Argentina,Mendoza,Full-Time,Staff (planta permanente),1000000,800000,Cobro parte del salario en dólares,,,,No,No recibo bono,Dos,45,Septiembre,4,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",Developer,5,0,0,0,"Amazon Web Services, Docker, Kubernetes, Linux","Java, SQL",Spring,"MongoDB, MySQL, PostgreSQL","Cucumber, Jest, JUnit, Postman",De 11  a 50  personas,Híbrido (presencial y remoto),1,7,Responder sobre mis estudios,Terciario,En curso,Analista Programador,,,,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,28,Varón Cis,FALSE,Semi-Senior,Hombre Cis
Argentina,Córdoba,Full-Time,Staff (planta permanente),650000,450000,,,,,3+ sueldos,Mix de las anteriores,Más de tres,96,Diciembre,4,"Abono de Internet, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles",4,"No, pero escucho ofertas.",DBA,13,2,2,0,"Linux, VMWare","Bash/Shell, SQL",Ninguno de los anteriores,"Oracle, PostgreSQL, Redis",Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,9,Responder sobre guardias,,,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,Terminar encuesta,39,Varón Cis,FALSE,Senior,Hombre Cis
